S 18f09c,4 hit
L 18e0a0,4 miss eviction
L 18e0a4,4 hit
L 18e0a8,4 hit
L 18e0ac,4 hit
L 18e0b0,4 hit
L 18e0b4,4 hit
L 18e0b8,4 hit
L 18e0bc,4 hit
L 10e0a0,4 miss eviction
L 10e0a4,4 hit
L 10e0a8,4 hit
L 10e0ac,4 hit
L 10e0b0,4 hit
L 10e0b4,4 hit
L 10e0b8,4 hit
L 10e0bc,4 hit
L 14e0a0,4 miss eviction
L 14e120,4 miss eviction
L 14e1a0,4 miss eviction
L 14e220,4 miss eviction
L 14e2a0,4 miss eviction
L 14e320,4 miss eviction
L 14e3a0,4 miss eviction
L 14e420,4 miss eviction
L 14e0a4,4 hit
L 14e124,4 hit
L 14e1a4,4 hit
L 14e224,4 hit
L 14e2a4,4 hit
L 14e324,4 hit
L 14e3a4,4 hit
L 14e424,4 hit
L 14e0a8,4 hit
L 14e128,4 hit
L 14e1a8,4 hit
L 14e228,4 hit
L 14e2a8,4 hit
L 14e328,4 hit
L 14e3a8,4 hit
L 14e428,4 hit
L 14e0ac,4 hit
L 14e12c,4 hit
L 14e1ac,4 hit
L 14e22c,4 hit
L 14e2ac,4 hit
L 14e32c,4 hit
L 14e3ac,4 hit
L 14e42c,4 hit
L 14e0b0,4 hit
L 14e130,4 hit
L 14e1b0,4 hit
L 14e230,4 hit
L 14e2b0,4 hit
L 14e330,4 hit
L 14e3b0,4 hit
L 14e430,4 hit
L 14e0b4,4 hit
L 14e134,4 hit
L 14e1b4,4 hit
L 14e234,4 hit
L 14e2b4,4 hit
L 14e334,4 hit
L 14e3b4,4 hit
L 14e434,4 hit
L 14e0b8,4 hit
L 14e138,4 hit
L 14e1b8,4 hit
L 14e238,4 hit
L 14e2b8,4 hit
L 14e338,4 hit
L 14e3b8,4 hit
L 14e438,4 hit
L 14e0bc,4 hit
L 14e13c,4 hit
L 14e1bc,4 hit
L 14e23c,4 hit
L 14e2bc,4 hit
L 14e33c,4 hit
L 14e3bc,4 hit
L 14e43c,4 hit
S 18e0a0,4 miss eviction
S 18e0a4,4 hit
S 18e0a8,4 hit
S 18e0ac,4 hit
S 18e0b0,4 hit
S 18e0b4,4 hit
S 18e0b8,4 hit
S 18e0bc,4 hit
L 18e120,4 miss eviction
L 18e124,4 hit
L 18e128,4 hit
L 18e12c,4 hit
L 18e130,4 hit
L 18e134,4 hit
L 18e138,4 hit
L 18e13c,4 hit
L 10e120,4 miss eviction
L 10e124,4 hit
L 10e128,4 hit
L 10e12c,4 hit
L 10e130,4 hit
L 10e134,4 hit
L 10e138,4 hit
L 10e13c,4 hit
L 14e0a0,4 miss eviction
